Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,No.
1,200kΩ,R37,R0201,200kΩ,0201WMF2003TEE,UNI-ROYAL(厚声),C270357,LCSC,65
1,2337019-1,RF1,ANT-SMD_2337019-1,,2337019-1,TE Connectivity(泰科电子),C434807,LCSC,66
2,RKB2SJG250SMTRLFS,"SW1,SW2",SW-SMD_4P-L4.2-W3.2-P2.15-LS4.6,,RKB2SJG250SMTRLFS,C&K,C2927788,LCSC,67
1,LM25118MHX/NOPB,U1,HTSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL-EP,,LM25118MHX/NOPB,TI(德州仪器),C470962,LCSC,68
2,470nF,"U2,U3",C0402,470nF,CC0402KRX7R6BB474,YAGEO(国巨),C723358,LCSC,69
1,MBR20200CS,U4,TO-252-2_L6.6-W6.1-P4.57-LS9.9-BR-CW,,MBR20200CS,YFW(佑风微),C2898627,LCSC,70
1,INA180A1IDBVR,U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,,INA180A1IDBVR,TI(德州仪器),C122228,LCSC,71
2,LGS5145,"U6,U8",SOT-23-6_L2.9-W1.7-P0.95-LS2.8-BL,,LGS5145,Legend-Si(棱晶半导体),C5123971,LCSC,72
1,LP38693SD-5.0/NOPB,U7,WSON-6_L3.0-W3.0-P0.95-BL-EP,,LP38693SD-5.0/NOPB,TI(德州仪器),C2864100,LCSC,73
2,REF5050AIDR,"U9,U10",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,,,TI(德州仪器),C27804,LCSC,74
2,2541WV-06P,"U11,U14",HDR-TH_6P-P2.54-V-M,,2541WV-06P,HanElectricity(瀚源),C5383115,LCSC,75
1,ZX-PM2.54-1-2PY,U12,HDR-TH_2P-P2.54-V-F,,ZX-PM2.54-1-2PY,Megastar(兆星),C7499322,LCSC,76
1,ESP32-S3R8,U13,QFN-56_L7.0-W7.0-P0.40-TL-EP4.0,,ESP32-S3R8,ESPRESSIF(乐鑫),C2913194,LCSC,77
1,2541FV-2x7P-B,U15,HDR-TH_2541FV-2X7P-B,,2541FV-2x7P-B,HanElectricity(瀚源),C25503125,LCSC,78
1,W25Q128JVSIQ,U16,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,,W25Q128JVSIQ,Winbond(华邦),C113767,LCSC,79
1,40MHz,U17,CRYSTAL-SMD_4P-L2.0-W1.6-BL,40MHz,XTM32040000PT00351001,TOGNJING,C42464327,LCSC,80
1,CD74HC4067SM96,U18,SSOP-24_L8.1-W5.3-P0.65-LS7.8-BL,,CD74HC4067SM96,TI(德州仪器),C98457,LCSC,81
1,PCA9306DCUR,U19,SSOP-8_L2.0-W2.3-P0.50-LS3.1-BR,,PCA9306DCUR,TI(德州仪器),C33196,LCSC,82
3,ADS1115IDGST,"U20,U21,U22",VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,,ADS1115IDGST,TI(德州仪器),C468683,LCSC,83
2,TXB0108PWR,"U23,U25",TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,,TXB0108PWR,TI(德州仪器),C53406,LCSC,84
6,MCP23S17-E/SS,"U24,U26,U28,U29,U30,U31",SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL,,MCP23S17-E/SS,MICROCHIP(美国微芯),C148009,LCSC,85
1,MCP3204-CI/SL,U27,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,,MCP3204-CI/SL,MICROCHIP(美国微芯),C32816,LCSC,86
,,,,,,,,,
